continent,iso_code,country
Europe,ROM,Romania
Asia,RUS,Russia
Africa,RWA,Rwanda
Americas,KNA,Saint Kitts and Nevis
Americas,LCA,Saint Lucia
Americas,SPM,Saint Pierre and Miquelon
Americas,VCT,Saint Vincent and the Grenadines
Europe,SMR,San Marino
Africa,STP,Sao Tome and Principe
Asia,SAU,Saudi Arabia
Africa,SEN,Senegal
Europe,--,Serbia and Montenegro
Africa,SYC,Seychelles
Africa,SLE,Sierra Leone
Asia,SGP,Singapore
Europe,SVK,Slovakia
Europe,SVN,Slovenia
Oceania,SLB,Solomon Islands
Africa,SOM,Somalia
Africa,ZAF,South Africa
Europe,ESP,Spain
Asia,LKA,Sri Lanka
Africa,SDN,Sudan
Americas,SUR,Suriname
Europe,SJM,Svalbard
Africa,SWZ,Swaziland
Europe,SWE,Sweden
Europe,CHE,Switzerland
Asia,SYR,Syria
Asia,TWN,Taiwan
Asia,TJK,Tajikistan
Africa,TZA,Tanzania
Asia,THA,Thailand
Africa,TGO,Togo
Oceania,TKL,Tokelau
Oceania,TON,Tonga
Americas,TTO,Trinidad and Tobago
Africa,TUN,Tunisia
Asia,TUR,Turkey
Asia,TKM,Turkmenistan
Americas,TCA,Turks and Caicos Islands
Oceania,TUV,Tuvalu
Africa,UGA,Uganda
Europe,UKR,Ukraine
Asia,ARE,United Arab Emirates
Europe,GBR,United Kingdom
Americas,USA,United States
Americas,URY,Uruguay
Asia,UZB,Uzbekistan
Oceania,VUT,Vanuatu
Americas,VEN,Venezuela
Asia,VNM,Vietnam
Americas,VIR,Virgin Islands
Oceania,WLF,Wallis and Futuna
Africa,ESH,Western Sahara
Oceania,WSM,Western Samoa
Asia,YEM,Yemen
Africa,ZAR,Zaire (Dem Rep of Congo)
Africa,ZWB,Zambia
Africa,ZWE,Zimbabwe
